input,output
Create one page for dollar to indian ruppe(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""CODING"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
create a groq like llm hosting and inferencing inteface in web(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""CODING"", ""platform"": ""DYNAMIC_WEB_APPLICATION"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
Create only UI of login screen with username and password. (query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""VISUAL_EDITS"", ""platform"": ""STATIC_WEB_APPLICATION"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
"Hello, How are you?(query)","{""action"": ""NOT_FOUND"", ""subAction"": ""GENERAL"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
"Getting Error : import { api } from '../../utils/api';

not able to Find this file and its breaking code(query)","{""action"": ""CODE_GENERATION"", ""subAction"": ""ERROR"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
Add Attendance part where can see employee daily attendant and in-out time(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""CODING"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
Add EmployeeItems in route and add urls(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""CODING"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
Create new screen for the laptop and other items assigned to every employee. show in table with accordion UI(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""VISUAL_EDITS"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
Create login web application for cats(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""CODING"", ""platform"": ""DYNAMIC_WEB_APPLICATION"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
Create login app(query),"{""action"": ""CODE_GENERATION"", ""subAction"": ""CODING"", ""platform"": ""NOT_FOUND"", ""framework"": ""NOT_FOUND"", ""languageType"": ""NOT_FOUND""}"
