input,output
Explain how photosynthesis works and its role in global carbon cycles.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['PLANT_PHYSIOLOGY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Solve for x in the equation sin(x) = 0.5 and explain the concept of trigonometric functions.,"{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['TRIGONOMETRY', 'ALGEBRA'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What are the causes of the French Revolution, and how did they impact modern governance?","{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are properties of acids and bases? A) Acids turn litmus red B) Bases taste sour C) Acids have pH > 7 D) Bases feel slippery,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION'], 'subject': ['CHEMISTRY'], 'topic': ['ACIDS_BASES_SALTS', 'CHEMICAL_REACTIONS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
Write a program to sort a list and explain how sorting algorithms are used in real-world applications.,"{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'PROGRAMMING_BASICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How does Newton’s second law apply to designing safe car braking systems?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'WORK_AND_ENERGY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Prepare a summary of plate tectonics and its effect on earthquake-prone regions.,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION'], 'subject': ['GEOGRAPHY', 'PHYSICS'], 'topic': ['PHYSICAL_FEATURES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_10']}"
"What is the difference between reflection and refraction, and how are they tested in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['PHYSICS'], 'topic': ['OPTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
Analyze the theme of ambition in Macbeth and solve a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What are the statistical measures of central tendency, and how are they used in data analysis?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
What is the function of the mitochondria in a cell?,"{'intent': ['CONCEPT_EXPLANATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
Solve the quadratic equation x² - 5x + 6 = 0.,"{'intent': ['PROBLEM_SOLVING'], 'subject': ['MATH'], 'topic': ['ALGEBRA'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
Which of the following elements is a noble gas? A) Oxygen B) Neon C) Nitrogen D) Hydrogen,"{'intent': ['MCQ_PRACTICE'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
Describe the major causes of World War I.,"{'intent': ['THEORY_REVIEW'], 'subject': ['HISTORY'], 'topic': ['WORLD_WARS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
How does a transformer work in electrical power distribution?,"{'intent': ['REAL_WORLD_APPLICATION'], 'subject': ['PHYSICS'], 'topic': ['ELECTRICITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
What is the time complexity of a binary search algorithm?,"{'intent': ['EXAM_PREPARATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_12']}"
What is the meaning of life?,"{'intent': ['NOT_FOUND'], 'subject': ['NOT_FOUND'], 'topic': ['NOT_FOUND'], 'difficulty': ['NOT_FOUND'], 'gradeLevel': ['NOT_FOUND']}"
How does climate change affect biodiversity?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
What is 2 + 2?,"{'intent': ['PROBLEM_SOLVING'], 'subject': ['MATH'], 'topic': ['NUMBER_SYSTEMS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_6']}"
Calculate the derivative of f(x) = x³ sin(x) using the product rule.,"{'intent': ['PROBLEM_SOLVING'], 'subject': ['MATH'], 'topic': ['CALCULUS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Explain the greenhouse effect, its impact on climate, and solve a related problem on CO2 emissions.","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'PROBLEM_SOLVING'], 'subject': ['GEOGRAPHY', 'CHEMISTRY', 'PHYSICS'], 'topic': ['ENVIRONMENTAL_STUDIES', 'CHEMICAL_REACTIONS', 'THERMODYNAMICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What are the key principles of object-oriented programming, and how are they applied in a real-world project?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['PROGRAMMING_BASICS', 'ALGORITHMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_12']}"
"Solve for the roots of x^2 + 2x + 1 = 0, and explain how quadratic equations relate to projectile motion.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['ALGEBRA', 'LAWS_OF_MOTION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
